no.,R parts,Acyl SMILES,Acyl Formula,Identification
1,R1,CC(=O)*,C2H2O1,acyl
2,R2,CCC(=O)*,C3H4O1,propionoyl
3,R3,CCCC(=O)*,C4H6O1,butanoyl
4,R4,CCCCC(=O)*,C5H8O1,pentanoyl
5,R5,CCCCCC(=O)*,C6H10O1,hexanoyl
6,R6,CCCCCCC(=O)*,C7H12O1,heptanoyl
7,R7,CCCCCCCC(=O)*,C8H14O1,octanoyl
8,R8,CCCCCCCCC(=O)*,C9H16O1,nonanoyl
9,R9,CCCCCCCCCC(=O)*,C10H18O1,decanoyl
10,R10,CCCCCCCCCCC(=O)*,C11H20O1,undecanoyl
11,R11,CCCCCCCCCCCC(=O)*,C12H22O1,dodecanoyl
12,R12,CCCCCCCCCCCCC(=O)*,C13H24O1,tridecanoyl
13,R13,CCCCCCCCCCCCCC(=O)*,C14H26O1,tetradecanoyl
14,R14,CCCCCCCCCCCCCCC(=O)*,C15H28O1,pentadecanoyl
15,R15,CCCCCCCCCCCCCCCC(=O)*,C16H30O1,hexadecanoyl
16,R16,CCCCCCCCCCCCCCCCC(=O)*,C17H32O1,heptadecanoyl
17,R17,CCCCCCCCCCCCCCCCCC(=O)*,C18H34O1,octadecanoyl
18,R18,CC=CC(=O)*,C4H4O1,butenoyl
19,R19,CCC=CC(=O)*,C5H6O1,pentenoyl
20,R20,CCCC=CC(=O)*,C6H8O1,hexenoyl
21,R21,CCCCC=CC(=O)*,C7H10O1,heptenoyl
22,R22,CCCCCC=CC(=O)*,C8H12O1,octenoyl
23,R23,CCCCCCC=CC(=O)*,C9H14O1,nonenoyl
24,R24,CCCCCCCC=CC(=O)*,C10H16O1,decenoyl
25,R25,CCCCCCCCC=CC(=O)*,C11H18O1,undecenoyl
26,R26,CCCCCCCCCC=CC(=O)*,C12H20O1,dodecenoyl
27,R27,CCCCCCCCCCC=CC(=O)*,C13H22O1,tridecenoyl
28,R28,CCCCCCCCCCCC=CC(=O)*,C14H24O1,tetradecenoyl
29,R29,CCCCCCCCCCCCC=CC(=O)*,C15H26O1,pentadecenoyl
30,R30,CCCCCCCCCCCCCC=CC(=O)*,C16H28O1,hexadecenoyl
31,R31,CCCCCCCCCCCCCCC=CC(=O)*,C17H30O1,heptadecenoyl
32,R32,CCCCCCCCCCCCCCCC=CC(=O)*,C18H32O1,octadecenoyl
33,R33,CC=CC=CC(=O)*,C6H6O1,hexadienoyl
34,R34,CCC=CC=CC(=O)*,C7H8O1,heptadienoyl
35,R35,CCCC=CC=CC(=O)*,C8H10O1,octadienoyl
36,R36,CCCCC=CC=CC(=O)*,C9H12O1,nonadienoyl
37,R37,CCCCCC=CC=CC(=O)*,C10H14O1,decadienoyl
38,R38,CCCCCCC=CC=CC(=O)*,C11H16O1,undecadienoyl
39,R39,CCCCCCCC=CC=CC(=O)*,C12H18O1,dodecadienoyl
40,R40,CCCCCCCCC=CC=CC(=O)*,C13H20O1,tridecadienoyl
41,R41,CCCCCCCCCC=CC=CC(=O)*,C14H22O1,tetradecadienoyl
42,R42,CCCCCCCCCCC=CC=CC(=O)*,C15H24O1,pentadecadienoyl
43,R43,CCCCCCCCCCCC=CC=CC(=O)*,C16H26O1,hexadecadienoyl
44,R44,CCCCCCCCCCCCC=CC=CC(=O)*,C17H28O1,heptadecadienoyl
45,R45,CCCCCCCCCCCCCC=CC=CC(=O)*,C18H30O1,octadecadienoyl
46,R46,CC=CC=CC=CC(=O)*,C8H8O1,octatrienoyl
47,R47,CCC=CC=CC=CC(=O)*,C9H10O1,nonatrienoyl
48,R48,CCCC=CC=CC=CC(=O)*,C10H12O1,decatrienoyl
49,R49,CCCCC=CC=CC=CC(=O)*,C11H14O1,undecatrienoyl
50,R50,CCCCCC=CC=CC=CC(=O)*,C12H16O1,dodecatrienoyl
51,R51,CCCCCCC=CC=CC=CC(=O)*,C13H18O1,tridecatrienoyl
52,R52,CCCCCCCC=CC=CC=CC(=O)*,C14H20O1,tetradecatrienoyl
53,R53,CCCCCCCCC=CC=CC=CC(=O)*,C15H22O1,pentadecatrienoyl
54,R54,CCCCCCCCCC=CC=CC=CC(=O)*,C16H24O1,hexadecatrienoyl
55,R55,CCCCCCCCCCC=CC=CC=CC(=O)*,C17H26O1,heptadecatrienoyl
56,R56,CCCCCCCCCCCC=CC=CC=CC(=O)*,C18H28O1,octadecatrienoyl
57,R57,CC6OC6C=CC=CC(=O)*,C8H8O2,"6,7-epoxy-2,4-octadienoyl"
58,R58,CCC6OC6C=CC=CC(=O)*,C9H10O2,"6,7-epoxy-2,4-nonadienoyl"
59,R59,CCCC6OC6C=CC=CC(=O)*,C10H12O2,"6,7-epoxy-2,4-decadienoyl"
60,R60,CCCCC6OC6C=CC=CC(=O)*,C11H14O2,"6,7-epoxy-2,4-undecadienoyl"
61,R61,CC6OC6C=CC=CC=CC(=O)*,C10H10O2,"8,9-epoxy-2,4,6-decatrienoyl"
62,R62,CCC6OC6C=CC=CC=CC(=O)*,C11H12O2,"8,9-epoxy-2,4,6-undecatrienoyl"
63,R63,CC(OC)C=CC=CC(=O)*,C8H10O2,"6-methoxy-2,4-octadienoyl"
64,R64,CCC(OC)C=CC=CC(=O)*,C9H12O2,"6-methoxy-2,4-nonadienoyl"
65,R65,CCCC(OC)C=CC=CC(=O)*,C10H14O2,"6-methoxy-2,4-decadienoyl"
66,R66,CC(OC)C=CC=CC=CC(=O)*,C10H12O2,"8-methoxy-2,4,6-decatrienoyl"
67,R67,CC(OC)C(OC)C=CC=CC(=O)*,C10H14O3,"8,9-dimethoxy-2,4-decadienoyl"
68,R68,CC(O)C=CC=CC(=O)*,C7H8O2,"6-hydroxy-2,4-heptadienoyl"
69,R69,CCC(O)C=CC=CC(=O)*,C8H10O2,"6-hydroxy-2,4-octadienoyl"
70,R70,CCCC(O)C=CC=CC(=O)*,C9H12O2,"6-hydroxy-2,4-nonadienoyl"
71,R71,CC(O)C=CC=CC=CC(=O)*,C9H10O2,"8-hydroxy-2,4,6-nonatrienoyl"
72,R72,CC(O)C(O)C=CC=CC(=O)*,C8H10O3,"6,7-dihydroxy-2,4-octadienoyl"
73,R73,CC(O)C(OC)C=CC=CC(=O)*,C9H12O3,"6-methoxy-7-hydroxy-2,4-nonadienoyl"
74,R74,CCC(O)C(OC)C=CC=CC(=O)*,C10H14O3,"6-methoxy-7-hydroxy-2,4-decadienoyl"
75,R75,CCCC(O)C(OC)C=CC=CC(=O)*,C11H16O3,"6-methoxy-7-hydroxy-2,4-undecadienoyl"
76,R76,CCCCC(O)C(OC)C=CC=CC(=O)*,C12H18O3,"6-methoxy-7-hydroxy-2,4-dodecadienoyl"
77,R77,CC(O)C(OC)C=CC=CC=CC(=O)*,C11H14O3,"8-methoxy-9-hydroxy-2,4,6-undecatrienoyl"
78,R78,CCC(O)C(OC)C=CC=CC=CC(=O)*,C12H16O3,"8-methoxy-9-hydroxy-2,4,6-dodecatrienoyl"
79,R79,c1ccccc1C(=O)*,C7H4O1,benzoyl
80,R80,c1ccccc1C=CC(=O)*,C9H6O1,cinnamoyl
81,R81,c1cc(O)ccc1C=CC(=O)*,C9H6O2,coumaroyl
82,R82,c1cc(O)c(OC)cc1C=CC(=O)*,C10H8O3,feruloyl
83,R83,c1ccccc1C=CC=CC(=O)*,C11H8O1,"5-pheny-2,4-pentadienoyl"
